isco_code,2014,2015,2016,2017,2018
111,2.301,3.261,3.901,2.843,2.839
112,10.397,11.387,7.506,6.215,6.424
121,2.381,1.917,2.075,1.743,1.956
122,2.683,3.656,2.568,2.286,4.166
131,0.032,0.372,0.216,x,0.309
132,14.066,13.91,13.197,8.406,11.019
133,6.461,8.604,6.02,5.062,4.063
134,14.482,13.676,10.781,8.984,8.749
141,20.498,23.746,21.238,15.865,19.5
142,12.489,14.47,15.117,10.666,13.332
143,9.741,8.017,7.243,10.39,10.295
211,4.366,4.896,5.495,6.214,4.105
212,1.824,1.346,0.773,0.63,2.449
213,7.395,6.613,3.873,4.649,5.525
214,14.923,15.068,18.524,16.973,17.497
215,7.438,7.914,10.252,10.538,11.095
216,25.552,27.323,25.08,23.187,20.023
221,33.658,29.223,22.633,25.222,33.306
225,2.412,1.289,2.167,3.01,3.247
226,11.109,12.124,11.796,12.214,12.476
231,21.508,20.631,24.278,26.79,21.75
232,2.963,2.437,2.371,2.211,2.454
233,44.934,43.302,43.71,47.039,41.614
234,52.165,49.092,43.788,49.419,51.851
235,17.635,15.131,12.747,19.292,22.868
241,14.469,19.352,22.407,22.953,21.574
242,26.682,30.866,31.066,30.702,33.997
243,16.209,15.79,18.384,21.506,29.284
251,29.054,27.615,28.796,30.389,31.619
252,6.274,5.109,6.173,11.914,12.667
261,37.027,34.206,37.538,41.667,40.304
262,2.97,2.797,4.216,3.192,2.348
263,23.131,22.173,19.845,20.78,21.941
264,16.343,13.451,10.114,10.394,11.8
265,15.467,15.782,16.488,16.773,14.024
311,37.605,32.387,25.408,29.55,33.686
312,6.661,7.444,7.786,5.265,7.444
313,9.883,9.191,5.446,7.738,9.097
314,1.169,1.793,1.874,2.744,2.8
315,6.838,5.004,5.199,6.249,3.991
321,9.183,10.832,8.675,7.775,7.124
322,39.59,39.389,41.073,49.381,50.058
324,x,x,x,0.925,0.996
325,26.818,24.483,28.239,27.79,30.48
331,72.217,64.522,67.775,69.37,65.459
332,39.544,43.182,43.147,45.5,46.416
333,25.832,24.324,32.598,30.006,24.796
334,18.406,21.85,26.611,21.234,26.094
335,12.985,11.392,8.714,11.151,11.296
341,8.808,8.572,8.719,7.932,7.411
342,6.94,9.52,11.293,10.179,9.45
343,5.514,7.253,7.771,4.185,3.201
351,40.273,37.885,31.46,32.118,41.979
352,12.642,9.109,10.225,10.247,12.901
411,103.089,109.501,121.207,115.927,115.659
412,51.026,52.751,52.399,50.788,47.948
413,7.841,7.155,7.554,6.498,7.137
421,15.435,14.234,12.495,13.925,18.133
422,42.956,50.963,49.122,46.309,44.482
431,24.523,28.61,28.43,28.329,29.229
432,29.052,30.307,29.491,28.516,27.259
441,29.499,29.352,27.491,28.527,26.199
511,6.836,7.635,8.744,5.774,7.169
512,31.981,33.963,32.709,34.846,39.816
513,52.31,56.779,57.656,64.63,52.143
514,19.64,21.604,22.97,30.462,28.378
515,5.082,3.237,3.199,5.941,5.368
516,2.063,2.188,2.413,1.738,2.184
521,4.662,3.141,3.387,3.398,2.047
522,138.176,127.253,149.347,154.604,147.554
523,16.564,18.077,19.734,22.728,17.123
524,16.788,19.045,16.437,15.24,16.679
531,8.86,8.611,8.262,9.047,8.875
532,46.146,50.649,56.699,55.582,56.6
541,46.645,51.989,55.091,60.364,51.529
611,20.719,20.619,22.552,27.164,26.522
612,5.386,5.462,6.374,3.993,3.227
613,2.882,1.808,1.935,3.367,2.891
621,0.812,1.139,1.159,0.807,0.639
622,1.479,0.611,0.59,1.466,2.341
711,39.785,41.423,46.673,46.219,48.779
712,29.584,26.381,24.235,22.446,23.446
713,11.397,10.28,10.53,10.673,8.063
721,12.176,10.861,13.671,13.077,12.775
722,14.691,13.568,10.045,8.564,9.861
723,26.659,25.516,25.572,27.515,24.963
731,8.153,7.568,9.099,8.097,6.846
732,6.062,5.145,4.225,5.194,5.492
741,26.815,23.94,23.206,24.949,23.687
742,6.854,6.69,8.798,7.911,5.472
751,12.513,13.742,10.998,14.874,14.078
752,9.174,9.168,6.639,7.346,8.367
753,5.044,5.33,3.856,4.077,5.076
754,3.926,1.763,1.09,2.462,2.828
811,2.26,1.167,1.003,1.055,0.491
812,1.731,2.154,1.364,0.787,0.596
813,4.723,4.644,3.994,6.624,6.976
814,5.309,4.364,3.339,2.621,3.821
815,4.928,5.256,7.186,9.329,5.357
816,2.093,2.035,1.519,1.963,1.359
817,1.241,1.141,1.921,3.192,2.004
818,3.144,3.919,3.657,4.758,6.94
821,5.217,4.21,4.793,7.347,8.64
831,0.431,1.088,2.112,1.886,2.042
832,26.646,27.6,29.355,26.635,24.853
833,36.832,37.82,35.803,38.252,37.202
834,9.307,10.436,12.561,11.148,8.259
835,x,x,0.245,x,0.497
911,175.67,173.335,160.147,153.362,163.998
912,2.173,2.397,1.591,2.015,1.889
921,24.3,22.019,24.725,23.444,25.394
931,12.846,11.096,10.415,7.295,6.169
932,3.13,1.716,2.47,3.138,3.447
933,11.254,9.571,13.286,15.451,13.137
941,7.107,9.783,11.171,11.155,10.103
952,7.795,11.02,12.251,9.614,6.938
961,6.959,11.407,9.627,5.904,9.089
962,45.737,45.9,46.122,48.022,50.395
