INCDECIL,RISK_CAT,2014,2015,2016,2017,2018
1.0,0.0,72.075,58.692,61.728,65.636,61.285
1.0,1.0,81.475,68.076,78.349,96.631,86.763
1.0,2.0,178.755,208.009,196.665,211.891,219.291
2.0,0.0,93.24,77.6,81.779,94.15,112.08
2.0,1.0,70.531,60.795,75.496,77.884,57.832
2.0,2.0,215.314,181.208,191.938,216.159,219.221
3.0,0.0,98.212,86.487,93.663,106.159,91.633
3.0,1.0,58.936,58.453,72.405,65.708,61.382
3.0,2.0,201.358,227.405,196.593,243.236,214.791
4.0,0.0,82.547,79.927,88.274,88.468,91.285
4.0,1.0,47.734,51.888,40.037,51.291,53.915
4.0,2.0,221.721,239.76,225.845,193.333,226.634
5.0,0.0,88.848,103.523,76.86,80.679,90.896
5.0,1.0,52.585,39.522,37.311,39.945,45.597
5.0,2.0,236.019,260.636,240.645,321.886,258.553
6.0,0.0,87.12,94.462,91.934,89.596,97.29
6.0,1.0,30.094,39.814,27.47,40.032,30.749
6.0,2.0,264.887,265.807,285.05,271.02,331.956
7.0,0.0,126.995,113.639,99.133,102.763,70.992
7.0,1.0,35.748,34.805,34.219,39.376,31.61
7.0,2.0,378.787,352.438,338.955,360.253,373.95
8.0,0.0,80.459,91.422,73.603,85.571,88.321
8.0,1.0,33.326,24.721,37.086,34.006,33.487
8.0,2.0,433.39,477.315,425.531,408.214,408.677
9.0,0.0,105.514,72.855,80.814,66.155,74.125
9.0,1.0,23.985,20.528,14.834,22.132,16.197
9.0,2.0,535.671,529.376,576.259,516.676,557.292
10.0,0.0,112.012,99.608,76.902,116.79,112.647
10.0,1.0,11.496,8.246,8.895,4.855,12.848
10.0,2.0,653.377,719.52,766.954,720.499,804.812
99.0,0.0,42.197,46.408,46.589,43.61,36.7
99.0,1.0,38.267,28.577,33.516,39.666,33.043
99.0,2.0,408.588,393.204,420.879,501.108,446.581
