NACE1D,RISK_CAT,2014,2015,2016,2017,2018
A,0.0,18.644,20.416,20.347,17.787,15.987
A,1.0,397.625,428.133,451.197,439.828,436.089
A,2.0,390.919,389.135,407.321,407.823,414.878
B,0.0,5.286,3.835,3.741,3.786,3.709
B,1.0,8.196,8.204,6.112,7.427,7.88
B,2.0,25.466,22.062,22.605,20.984,13.443
C,0.0,492.809,490.257,479.364,472.925,511.222
C,1.0,512.463,502.137,504.132,493.611,509.073
C,2.0,3126.745,3127.979,3162.593,3218.343,3245.821
D,0.0,33.5,38.148,37.337,35.436,31.704
D,1.0,18.128,13.693,16.574,18.135,15.564
D,2.0,56.178,62.043,71.579,67.069,61.658
E,0.0,29.97,30.369,27.795,28.885,29.452
E,1.0,15.9,16.51,18.204,19.955,21.119
E,2.0,182.49,190.671,188.787,181.313,198.862
F,0.0,90.616,96.79,84.141,86.55,82.639
F,1.0,966.351,962.682,924.098,928.028,923.17
F,2.0,426.67,408.493,395.31,400.599,400.704
G,0.0,2185.879,2168.324,2192.46,2221.967,2198.366
G,1.0,239.334,243.927,262.961,257.057,249.301
G,2.0,797.015,776.803,781.602,803.641,832.242
H,0.0,170.007,162.104,174.834,179.094,179.285
H,1.0,92.656,89.801,85.71,92.319,94.551
H,2.0,776.152,780.947,824.141,838.121,854.916
I,0.0,148.91,149.805,168.22,170.449,165.306
I,1.0,37.504,39.763,36.485,37.044,39.293
I,2.0,1082.299,1143.328,1189.31,1242.511,1252.87
J,0.0,102.022,109.465,109.715,111.232,110.277
J,1.0,2.614,2.271,3.635,2.411,2.172
J,2.0,446.536,449.385,448.317,450.788,489.742
K,0.0,482.22,508.464,510.127,497.497,498.833
K,1.0,0.925,0.78,0.965,0.886,1.238
K,2.0,127.869,134.35,137.373,138.783,141.412
L,0.0,45.929,52.068,55.894,53.427,51.021
L,1.0,3.1,2.46,3.16,3.259,2.907
L,2.0,76.378,77.084,80.574,86.944,94.732
M,0.0,343.79,343.572,360.963,364.289,367.998
M,1.0,10.799,10.982,9.34,8.022,9.571
M,2.0,1044.177,1056.515,1085.989,1082.96,1101.612
N,0.0,219.116,229.077,233.839,224.124,234.313
N,1.0,353.206,380.229,375.496,356.576,358.088
N,2.0,335.049,358.666,381.571,384.824,414.031
O,0.0,351.966,345.647,340.244,343.552,346.353
O,1.0,24.749,25.794,23.604,26.005,23.308
O,2.0,667.063,673.388,662.883,650.827,636.412
P,0.0,102.529,112.93,121.237,123.41,105.208
P,1.0,153.635,156.246,155.705,153.746,148.836
P,2.0,1256.283,1238.701,1265.573,1336.093,1330.781
Q,0.0,168.977,164.549,174.834,176.396,181.576
Q,1.0,66.639,65.849,70.273,72.79,74.105
Q,2.0,1567.563,1565.581,1585.621,1613.67,1633.974
R,0.0,52.454,55.465,56.351,57.851,57.028
R,1.0,14.153,11.76,12.454,14.036,14.927
R,2.0,230.809,235.983,254.692,262.05,234.45
S,0.0,77.626,78.449,82.654,84.58,77.54
S,1.0,55.579,53.056,54.993,57.774,58.208
S,2.0,518.114,526.618,528.67,550.564,576.602
T,0.0,1.321,1.022,1.412,1.577,0.968
T,1.0,453.951,459.616,431.779,413.811,421.991
T,2.0,320.797,325.683,329.823,347.959,339.589
U,0.0,4.925,4.727,4.419,8.199,5.913
U,1.0,1.824,0.291,0.838,0.649,1.052
U,2.0,8.731,11.235,10.023,10.001,10.519
